,document,score,review_score,most_words,Pos_Neu_Neg
1,맛도 엄청 고급지고 커피도 너무 맛있어요~사장님께서 재료도 엄청쓰시는 카페인거같더라구요논현동가면 꼭 들려보세요 강추!!!,5.0,0.9939,"[('맛', 1), ('고급', 1), ('지고', 1), ('커피', 1), ('맛있어요', 1), ('사장', 1), ('재료', 1), ('쓰시', 1), ('카페', 1), ('같더라구요', 1)]",긍정
2,저도 평점에 속음 ㅋㅋㅋㅋㅋㅋㅋ 외관만 그럴싸하게 해놨지 속빈 강정입니다. 커피 싼 원두로 양만 많아보이게 하는거 확실 하고요. 이거보다 저렴하고 맛있는 이디야를 가세요 제발 ㅠㅠㅠㅠㅠ동네주민으로써 이주변에는 커피 맛있는 개인카페 없습니다. 스벅을 가서 행복해지세요 ㅠㅠㅠㅠㅠ부디,5.0,0.9756,"[('커피', 2), ('맛있는', 2), ('저', 1), ('평점', 1), ('음', 1), ('외관', 1), ('그럴', 1), ('싸하게', 1), ('빈', 1), ('강정', 1)]",긍정
3,에그타르트 맛있어용 시나몬도 뿌려주네여커피는 좀 비싸여 ㅠ,1.0,0.8377,"[('에그타르트', 1), ('맛있어용', 1), ('시나몬', 1), ('커피', 1), ('좀', 1), ('비싸여', 1)]",긍정
4,에그타르트,3.8,0.4542,"[('에그타르트', 1)]",중립
5, 통밀비스코티 먹었는데 맛이 평이함,4.4,0.0561,"[('통밀', 1), ('비', 1), ('스코티', 1), ('맛', 1), ('평이함', 1)]",부정
6,에타 맛집 인죵합니다… ㄹㅇ 너무 맛있어요.. 하루에 10개 먹고싶은 맛..ㅜ 평소에 접하기 힘든 구움과자 종류가 많아서 맨날 들리면서 하나씩 맛보는 재미가 있습니당커피도 밸런스가 아쥬 조아서 호불호 없는 맛~!왕왕 추쳔~_~,4.4,0.9753,"[('맛', 2), ('에타', 1), ('맛집', 1), ('인죵합니', 1), ('맛있어요', 1), ('하루', 1), ('개', 1), ('평소', 1), ('접', 1), ('힘든', 1)]",긍정
7,여자친구만 있으면 매일 조공하고 싶을 매우 이쁘고 사랑스럽고소중한 맛..여자친구만 있으면.. 하대표님께서 재료에대한 자부심이 고스란히 전해지는매우 질 좋은 퀄리티입니다!에그타르트는 꼭 드셔보시길,5.0,0.9907,"[('여자친구', 2), ('있으면', 2), ('매우', 2), ('매일', 1), ('조공', 1), ('이쁘고', 1), ('사랑스럽고', 1), ('소중한', 1), ('맛', 1), ('대표', 1)]",긍정
8,볼일이 있어 잠시 들렀는데 베이커리 종류도 많지만 맛이 정말 고급지네요커피맛은 아주 훌륭했습니다,5.0,0.9931,"[('맛', 2), ('볼일', 1), ('있어', 1), ('잠시', 1), ('베이커리', 1), ('종류', 1), ('많지만', 1), ('정말', 1), ('고급', 1), ('커피', 1)]",긍정
9,에그타르트,5.0,0.4542,"[('에그타르트', 1)]",중립
10,굿^^,4.5,0.935,"[('굿', 1)]",긍정
11,오미자티랑 미숫가루라떼 맛있어요,3.9,0.936,"[('오미자', 1), ('티', 1), ('미숫가루', 1), ('라떼', 1), ('맛있어요', 1)]",긍정
12,에그타르트 드세요,3.4,0.587,"[('에그타르트', 1)]",중립
13,빵을 많이 먹어봤지만,4.9,0.7583,"[('빵', 1)]",긍정
14, 여기처럼 맛있는 빵집은 손에 꼽는거 같습니다. 빵 전혀 마르다고 생각해본적 없고요,4.2,0.639,"[('여기', 1), ('맛있는', 1), ('빵집', 1), ('손', 1), ('꼽는거', 1), ('같습니다', 1), ('빵', 1), ('전혀', 1), ('마르다', 1), ('생각', 1)]",중립
15, 다음날까지 집가서 치즈타르트 먹었는데 촉촉하고 꾸덕하고 맛있었습니다. 커피는 못마셔봤는데 다음에 재방문할 때 마셔보겠습니다. 빵 정말 맛있어요 ^_^b,4.6,0.9947,"[('다음', 2), ('날', 1), ('치즈', 1), ('타르트', 1), ('촉촉하고', 1), ('덕', 1), ('맛있었습니다', 1), ('커피', 1), ('재', 1), ('방문', 1)]",긍정
16,후기 귀찮아서 안남기는데 여긴 최악이라 남김.빵 한지오래됐는지 건조하고 맛없음 커피원두도 안좋은거는지 맛없음. 후기 적은데 평점 높은 곳은 주작한거라 의심하면될듯ㅋㅋ 별점0점은 왜못주지,4.4,0.0071,"[('후기', 2), ('맛없음', 2), ('거', 2), ('점', 2), ('귀찮아서', 1), ('최악', 1), ('빵', 1), ('지오', 1), ('건조하고', 1), ('커피', 1)]",부정
17,일단 에그타르트 앞으로 여기서 평생 사먹을 예정이고(설명이 필요없..그냥 먹어보면 딱 !) 스콘도 구수한 콘스프맛이 나서 좋았구요~ 잼이랑 먹으면 더더 맛있을 것 같아요~(갠적으로 저는 스콘 본연의 맛을 좋아해서ㅎ)  레몬 케이크!!! 방금 먹었는데 맨 첨에 먹었을때 좀 달았는데 우유랑 같이 먹으니까 괜찮더라구요ㅎ 근데 레몬 케이크 보슬보슬하니 진짜 맛있어요 !!! 확장되고나서 더 다양한 종류의 마르케 기대됩니다ㅏ 무엇보다 추천 메뉴 여쭤봤을때 사장님께서 친절하고 차분하게 설명해주셔서 좋았어요 !!,2.6,0.9929,"[('설명', 2), ('스콘', 2), ('레몬', 2), ('케이크', 2), ('때', 2), ('일단', 1), ('에그타르트', 1), ('앞', 1), ('여기', 1), ('평생', 1)]",긍정
18,너무 맛있어요 특히 에그타르트 늘 생각나는 맛이에요.. 그냥 미쳤어요 최고 그리고 까눌레도 진짜 존맛... 다른덴 탄맛만 엄청 나는데 여기는 굽기가 딱 적당한거같아여.. 생긴건 엄청 타보이는데 그게 아니더라구요 완존 댑악,4.8,0.9778,"[('맛', 2), ('맛있어요', 1), ('에그타르트', 1), ('늘', 1), ('그냥', 1), ('미쳤어요', 1), ('최고', 1), ('까눌레', 1), ('진짜', 1), ('존맛', 1)]",긍정
19,에그타르트랑 레몬케이크 진짜 JMT 구요..쿠키들도 너무 맛있습니다    식빵도 완전 쫄깃하고 맛있어요 저 믿고 꼭 사서 잼 듬뿍 발라 드셔보세요 ㅠㅠ,5.0,0.9913,"[('에그타르트', 1), ('레몬', 1), ('케이크', 1), ('진짜', 1), ('쿠키', 1), ('맛있습니다', 1), ('식빵', 1), ('완전', 1), ('쫄깃', 1), ('맛있어요', 1)]",긍정
20,가야는이유 : 다양한 종류가 눈에 띄는 일식베이커리안가는이유 : 맛으로는 평범함이 더 느껴졌던에그타르트 : 최근에 만족했던 에그타르트를 많이 먹어서인지 그저그랬던,5.0,0.6373,"[('이유', 2), ('에그타르트', 2), ('가야', 1), ('다양한', 1), ('종류', 1), ('눈', 1), ('일식', 1), ('베이커리', 1), ('가는', 1), ('맛', 1)]",중립
21, 만든지 좀 되어서인지 타르트도 눅눅하고 기름 뭉쳐진 같은 느낌도얼그레이파운드 : 파운드 같은 케이크는 만족스러운,3.3,0.5929,"[('같은', 2), ('파운드', 2), ('만', 1), ('좀', 1), ('타르트', 1), ('눅눅하고', 1), ('기름', 1), ('느낌', 1), ('얼그레이', 1), ('케이크', 1)]",중립
22,에그타르트도 맛있었지만 쇼콜라타르트가 최고였어요! 초콜렛 맛은 진하고 위에 있은 오레오 가루 같은 층에는 너트 종류들이 있는것처럼 식감이 너무 좋았답니당 :) 쇼콜라타르트 먹으러 또 갈게영!,4.9,0.9683,"[('쇼콜라', 2), ('타르트', 2), ('에그타르트', 1), ('맛있었지만', 1), ('최고', 1), ('초콜렛', 1), ('맛', 1), ('진하고', 1), ('위', 1), ('있은', 1)]",긍정
23,논현동에서 제일가는 디저트집이에요!!케이크 주문하니까 맞춤제작까지해주시더라구요!!커피도 원두를 좋은거쓰셔서 너무맛있어요강추드립니당,5.0,0.984,"[('논현동', 1), ('일가', 1), ('디저트', 1), ('집', 1), ('케이크', 1), ('주문', 1), ('맞춤', 1), ('제작', 1), ('커피', 1), ('원두', 1)]",긍정
24,왜 평점이 높은거죠?또 평점에 속았음맛도 별로고 양은 적은데 비싸고 속은 건조하고 진짜 완전 별로에요빵 엄청 좋아하고 일부러 찾아가서 포장까지 했는데두번 다시는 가고 싶지 않네요,2.3,0.0033,"[('평점', 2), ('별로', 2), ('왜', 1), ('높은거죠', 1), ('또', 1), ('았음맛', 1), ('양은', 1), ('비싸고', 1), ('속', 1), ('건조하고', 1)]",부정
25,고급스럽게 맛있어요!,4.5,0.9836,"[('고급', 1), ('맛있어요', 1)]",긍정
26,논현 커피 메모,4.2,0.6803,"[('논현', 1), ('커피', 1), ('메모', 1)]",긍정
27,지나가는 길목이라 간식거리 사야지.. 하는 맘으로 가볍게 들어갔는데 생각보다 맛있어서 놀랬어요. 평수대비 빵종류도 많았고 신선해요. 원두는 식으면 고소한맛 보다는 산미가 있는편!,3.8,0.9787,"[('길목', 1), ('간식', 1), ('거리', 1), ('맘', 1), ('가볍게', 1), ('생각', 1), ('맛있어서', 1), ('놀랬어요', 1), ('평수', 1), ('대비', 1)]",긍정
28,완전 빵순이라 여기저기 다니는데 여긴 거의 매주 들러요 ㅠㅠ 오늘도 먹다가 문득 너무 맛있어서 올립니다ㅠㅠ 안 맛있는 거 찾기가 더 어려워서 추천이 고민되지만 개취로 특히 맛있는 거 꼽자면 에그타르트 브라우니 휘낭시에류 스콘류 파운드케이크류......그냥 다 맛있어요....맛 보면 확실히 재료 팍팍 쓰시는 거 같은게 맛?향?이 깊음bbb,3.9,0.9807,"[('거', 3), ('류', 3), ('맛있는', 2), ('맛', 2), ('완전', 1), ('빵', 1), ('순이', 1), ('여기저기', 1), ('거의', 1), ('오늘', 1)]",긍정
29,맨날 가는 단골집. 오렌지 쇼콜라 브라우니. 솔티 캬라멜 휘낭시에. 무화과 크림치즈 휘낭시에. 얼그레이 엘립스 파운드. 달마시안 바닐라빈 파운드. 더블 초코 마들렌 추천합니다.,4.0,0.7085,"[('휘', 2), ('낭시', 2), ('파운드', 2), ('단골', 1), ('집', 1), ('오렌지', 1), ('쇼콜라', 1), ('브라우니', 1), ('솔티', 1), ('캬라멜', 1)]",긍정
30,검색해서 찾아간 베이커리맛집!!마카롱이 너무 먹고싶어서 샀는데...와...꼬끄도 바삭하고 촉촉하니 맛잇고 안에 들어 있는 크림이 달지도 느끼하지도 않게 맛있었어요!!ㅎㅎ케익도 너무 맛있어 보여요ㅠ 담에 방문했을때는 이것저것 다 먹어봐야겠어요!!ㅎ,3.7,0.9903,"[('것', 2), ('검색', 1), ('베이커리', 1), ('맛집', 1), ('마카롱', 1), ('꼬끄', 1), ('바삭', 1), ('촉촉하니', 1), ('맛', 1), ('안', 1)]",긍정
31,일단 제가 먹어본 디저트 빵들중에서 상위권에 속하는 맛이었습니다가격대비 높은 만족도입니다 티비에 여러번 방송도 되엇고 이영자 맛집이라고 해서 기대가 컸는데 먹고 갬동의 눈물...유기농 재료 로 만든다고 하니 애들도 사서 먹일수 있고재료 들 좋은게 딱 느껴지는 디저트들이었어요 자주 이용할거같아요커피도 맛있습니다 추천합니다,5.0,0.9936,"[('디저트', 2), ('재료', 2), ('일단', 1), ('제', 1), ('빵', 1), ('중', 1), ('상위', 1), ('속', 1), ('맛', 1), ('가격', 1)]",긍정
32,각 제품마다 재료들을 아낌없이 넣으신거 같아요!! 먹자마자 맛이 확 느껴지더라구요 ㅎㅎ 다른것도 먹으러 또 가겠습니다~,3.0,0.9153,"[('각', 1), ('제품', 1), ('재료', 1), ('거', 1), ('같아요', 1), ('맛', 1), ('확', 1), ('것', 1), ('또', 1)]",긍정
33,맛있어요 좋은재료 쓰시는 느낌이 팍들어요 최애맛집,5.0,0.9617,"[('맛있어요', 1), ('좋은', 1), ('재료', 1), ('쓰시', 1), ('느낌', 1), ('팍', 1), ('최애', 1), ('맛집', 1)]",긍정
